"","year","age","sex","polviews","happy","conrinc","wtssall","natrace","life","trust","dwelown","marital"
"293",1972,58,1,NA,1,NA,1.3339,NA,NA,1,NA,1
"294",1972,45,1,NA,1,NA,2.2232,NA,NA,1,NA,1
"295",1972,31,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"296",1972,23,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"297",1972,69,1,NA,1,NA,0.4446,NA,NA,2,NA,2
"298",1972,35,2,NA,2,NA,0.4446,NA,NA,2,NA,4
"299",1972,43,2,NA,2,NA,0.4446,NA,NA,2,NA,2
"300",1972,56,2,NA,3,NA,0.8893,NA,NA,2,NA,1
"301",1972,36,2,NA,3,NA,0.4446,NA,NA,2,NA,4
"302",1972,47,2,NA,1,NA,2.2232,NA,NA,2,NA,1
"303",1972,29,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"304",1972,60,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"305",1972,37,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"306",1972,20,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"307",1972,55,2,NA,2,NA,1.3339,NA,NA,2,NA,1
"308",1972,71,2,NA,2,NA,0.8893,NA,NA,1,NA,2
"309",1972,30,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"310",1972,59,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"311",1972,42,2,NA,1,NA,0.8893,NA,NA,2,NA,4
"312",1972,55,2,NA,1,NA,0.8893,NA,NA,1,NA,4
"313",1972,24,1,NA,3,NA,0.8893,NA,NA,2,NA,1
"314",1972,30,1,NA,3,NA,0.8893,NA,NA,2,NA,4
"315",1972,70,1,NA,1,NA,0.4446,NA,NA,2,NA,5
"316",1972,43,2,NA,2,NA,0.4446,NA,NA,2,NA,2
"317",1972,45,1,NA,3,NA,0.8893,NA,NA,2,NA,1
"318",1972,25,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"319",1972,37,2,NA,3,NA,0.4446,NA,NA,1,NA,3
"320",1972,22,1,NA,2,NA,1.3339,NA,NA,2,NA,5
"321",1972,27,2,NA,3,NA,1.7786,NA,NA,2,NA,5
"322",1972,28,2,NA,2,NA,0.8893,NA,NA,1,NA,5
"323",1972,42,1,NA,1,NA,0.8893,NA,NA,1,NA,3
"324",1972,42,2,NA,2,NA,0.8893,NA,NA,2,NA,5
"325",1972,30,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"326",1972,40,2,NA,2,NA,1.3339,NA,NA,2,NA,1
"327",1972,37,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"328",1972,24,2,NA,2,NA,1.7786,NA,NA,1,NA,5
"329",1972,46,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"330",1972,53,2,NA,2,NA,1.3339,NA,NA,1,NA,1
"331",1972,64,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"332",1972,20,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"333",1972,60,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"334",1972,33,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"335",1972,70,2,NA,2,NA,0.8893,NA,NA,1,NA,5
"336",1972,60,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"337",1972,26,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"338",1972,74,2,NA,3,NA,1.3339,NA,NA,2,NA,2
"339",1972,33,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"340",1972,23,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"341",1972,19,1,NA,2,NA,0.8893,NA,NA,2,NA,5
"342",1972,59,2,NA,3,NA,0.8893,NA,NA,2,NA,1
"343",1972,70,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"344",1972,52,1,NA,2,NA,1.7786,NA,NA,2,NA,1
"345",1972,NA,2,NA,3,NA,0.4446,NA,NA,2,NA,2
"346",1972,75,1,NA,1,NA,0.4446,NA,NA,2,NA,2
"347",1972,49,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"348",1972,49,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"349",1972,46,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"350",1972,45,2,NA,2,NA,0.4446,NA,NA,1,NA,2
"351",1972,28,2,NA,2,NA,0.4446,NA,NA,1,NA,5
"352",1972,23,1,NA,3,NA,1.3339,NA,NA,2,NA,1
"353",1972,64,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"354",1972,33,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"355",1972,69,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"356",1972,72,1,NA,2,NA,1.3339,NA,NA,2,NA,1
"357",1972,59,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"358",1972,69,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"359",1972,58,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"360",1972,53,1,NA,2,NA,1.7786,NA,NA,1,NA,3
"361",1972,62,1,NA,1,NA,0.4446,NA,NA,2,NA,2
"362",1972,58,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"363",1972,32,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"364",1972,58,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"365",1972,70,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"366",1972,69,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"367",1972,36,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"368",1972,47,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"369",1972,31,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"370",1972,81,2,NA,2,NA,1.7786,NA,NA,2,NA,2
"371",1972,24,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"372",1972,51,2,NA,2,NA,1.7786,NA,NA,1,NA,1
"373",1972,69,2,NA,3,NA,0.4446,NA,NA,2,NA,2
"374",1972,30,2,NA,1,NA,0.8893,NA,NA,1,NA,1
