survey_yr,birth_cohort,counts,age_wmean,polviews_wmean,happy_wmean,conrinc_wmean,dwelown_wmean,been_married_wmean,conrinc_median,is2018,been_married_wmean_binned,dwelown_wmean_binned,age_wmean_binned,relative_youth
1986,1930.0,75,54.11874999999999,4.2375,1.7374999999999998,18496.324999999993,0.7999999999999998,0.9624999999999999,22897.0,0,0.9,0.7000000000000001,50.0,8.0
1986,1935.0,92,49.08737864077668,4.3252427184466,1.723300970873786,23304.281553398047,0.7961165048543688,0.9757281553398058,28622.0,0,0.9,0.7000000000000001,45.0,7.0
1986,1940.0,124,44.03501945525291,4.299610894941633,1.758754863813229,27675.700389105048,0.7976653696498054,0.9416342412451361,28622.0,0,0.9,0.7000000000000001,40.0,6.0
1986,1945.0,154,39.076190476190476,4.301587301587302,1.6634920634920636,27665.076190476186,0.7904761904761904,0.9460317460317461,32438.0,0,0.9,0.7000000000000001,35.0,5.0
1986,1950.0,172,33.86890243902439,4.039634146341463,1.7378048780487807,21761.35670731707,0.521341463414634,0.8871951219512194,20989.0,0,0.8,0.5,30.0,4.0
1986,1955.0,188,28.948126801152736,4.008645533141211,1.804034582132565,22913.403458213255,0.48703170028818427,0.7204610951008646,24805.0,0,0.7000000000000001,0.4,25.0,3.0
1986,1960.0,141,24.154098360655738,4.213114754098361,1.698360655737705,12626.042622950818,0.4327868852459016,0.42622950819672123,13738.0,0,0.4,0.4,20.0,2.0
1986,1965.0,59,19.968749999999996,3.8374999999999995,1.8562500000000002,4896.643749999999,0.4999999999999999,0.1,6869.0,0,0.1,0.4,15.0,1.0
1987,1910.0,63,74.43778795187683,3.877906598882134,1.5899691647770766,2676.087950793628,0.7894485044555812,0.9361577290255491,11243.0,0,0.9,0.7000000000000001,70.0,12.0
1987,1915.0,88,69.88201875329952,4.057154954563848,1.6860041644223271,3160.1253922569617,0.7948928210611506,0.9526156270349795,15177.5,0,0.9,0.7000000000000001,65.0,11.0
1987,1920.0,104,64.90112474949133,4.176689906248757,1.7340835746962504,10730.205821908366,0.8587524132037851,0.9688322799122416,22485.5,0,0.9,0.8,60.0,10.0
1987,1925.0,96,59.98263264683929,4.265487116409625,1.7919586631763755,19212.438931466237,0.881559277131233,0.9732162193416806,24359.0,0,0.9,0.8,55.0,9.0
1987,1930.0,99,54.831689347486616,4.3173950599638315,1.838162014649836,28476.293266597357,0.8366208611461531,0.9955150302415865,35602.0,0,0.9,0.8,50.0,8.0
1987,1935.0,110,49.82206097165917,4.018188477078747,1.704252859077365,28587.58397072792,0.8227875295930683,0.92644171846599,31854.0,0,0.9,0.8,45.0,7.0
